ID,name,director,actor,released_date,tags,area
26323026,临时演员,"['钱江汉', '黄志伟']","['郑恺', '热依扎', '郭晓东', '殷桃', '詹瑞文', '曹扬', '林保怡', '林雪', '邱文洋']",2017,"['喜剧', '爱情']",['中国大陆']
26920269,重返·狼群,['亦风'],['李微漪'],2017,['纪录片'],['中国大陆']
26995137,忠爱无言,['谈宜之'],"['高强', '于月仙', '李玉峰', '二货', '储毅', '王玉宁', '陈凯瑞']",2017,['剧情'],['中国大陆']
26412618,六人晚餐,['李远'],"['窦骁', '张钧甯', '邬君梅', '吴刚', '赵立新', '俞灏明', '尹馨梓', '姜尘', '崔文璐', '陈欢', '胡晴云', '陈威旭', '郝宣凯', '李雨诺']",2017,"['剧情', '爱情']",['中国大陆']
26606242,冈仁波齐,['张杨'],"['尼玛扎堆', '杨培', '索朗卓嘎', '次仁曲珍', '色巴江措', '仁青晋美', '姆曲', '扎西措姆', '江措旺堆', '达瓦扎西', '仁青旺佳', '丁孜登达', '索郎尼马']",2015,['剧情'],['中国大陆']
26857793,原谅他77次,['邱礼涛'],"['蔡卓妍', '周柏豪 ', '卫诗雅', '钟欣潼', '卢巧音', '郑希怡', '雷琛瑜', '郑诗君', '陆永', '林盛斌', '小肥', '惠英红', '吴镇宇', '郑丹瑞', '李蕙敏', '泰臣', '孙佳君', '韦罗莎', '黄秋生', '于洋', '谢志豪', '黄雅敏', '莫浩峰', '莫小彤', '方志驹', '邹敏夷']",2017,['爱情'],"['中国香港', '中国大陆']"
26801782,缉枪,['徐兵'],"['白举纲', '热依扎', '连奕名', '任东霖', '童苡萱', '王堃', '洪剑涛', '王龙正', '陈启杰', '戚云鹏', '苗清', '吴冕', '崔月', '巴多', '斌子', '侯传杲', '白红标', '洪京京', '黄馨瑶', '韩楠', '石典典', '焦尤成', '赵炳锐', '黎真承']",2017,"['剧情', '动作', '犯罪']",['中国大陆']
25827741,反转人生,['伍仕贤'],"['夏雨', '闫妮', '宋茜', '潘斌龙', '吴大维', '郭凯敏', '李勤勤', '伍仕贤', '王伊瑶', '李振平', '张英伟', '宁静', '王宝强', '雷佳音', '包贝尔', '英达', '景岗山', '李静', '肖剑', '隋凯', '吴彦祖', '田雷', '吴超', '滕雨佳', '于婉丽', '祁琪', '肖瑶', '吴冬妮', '王今心', '张昕琦', '张昕瑶', '佘铂诚', '张泉通', '黄兆暄', '丁俨', '萧群', '李雷雷', '李冉', '丰林虎', '付云云', '安笑歌', '陈彦廷', '李振刚', '李奕臻', '杜海', '佟野', '刘妍冰', '马兰杏', '闫长海', '崔健', '翁力', '史元庭', '应超男', '马思超']",2017,"['喜剧', '奇幻']",['中国大陆']
26667056,逆时营救,['尹鸿承'],"['杨幂', '霍建华', '金士杰', '刘畅', '张艺瀚', '王俐丹', '金熙元', '张东', '李承勋']",2017,"['动作', '科幻']",['中国大陆']
26425072,明月几时有,['许鞍华'],"['周迅', '彭于晏', '霍建华', '叶德娴', '郭涛', '春夏', '黄志忠', '蒋雯丽', '梁家辉', '王菀之', '吕良伟', '鲍起静', '李灿森', '梁文道', '张兆辉', '冯淬帆', '苑琼丹', '唐宁', '卢巧音', '许鞍华', '永濑正敏', '森田凉花', '骏雄', '何华超', '蔡瀚亿', '欧锦棠', '熊欣欣', '吴岱融', '叶朗钲', '谭宫柔真', '和泉素行', '梅达池', '胡晨曦', '蒋祖曼', '顾定轩']",2017,"['剧情', '历史', '战争']","['中国大陆', '中国香港']"
26811587,大护法,['不思凡'],"['小连杀', '图特哈蒙', '金士杰', '幽舞越山', '李佳怡', '李兰陵', '郭盛', '叶知秋', '佟心竹', '邢凯新', '藤新', '郝祥海']",2017,"['喜剧', '动画', '奇幻', '冒险']",['中国大陆']
26898747,父子雄兵,['袁卫东'],"['大鹏', '范伟', '张天爱', '乔杉', '邬君梅', '任达华', '梁龙', '马书良', '柳岩', '屈楚萧', '罗家英', '易小星', '潘斌龙', '李尚正', '郭凯敏', '梁健平', '张东升', '张艺骞']",2017,['喜剧'],['中国大陆']
26787124,青禾男高,['蒋卓原'],"['景甜', '欧豪', '黑木美沙', '林遣都', '张宁江', '尹昉', '周游', '丁冠森', '夏恩', '姜宗远', '中岛广稀', '刘德凯', '荫山征彦', '木幡龙', '李方丁', '大谷主水']",2017,['剧情'],"['中国大陆', '中国台湾']"
26650037,秘果,['连奕琦'],"['陈飞宇', '欧阳娜娜', '邹元清', '张诚航', '欧豪', '米咪', '咏梅', '曹卫宇', '张瑶', '李丽鲜', '荣梓杉']",2017,['爱情'],['中国大陆']
26790961,闪光少女,['王冉'],"['徐璐', '彭昱畅', '刘泳希', '鲁照华', '韩忠羽', '李诺', '骆明劼', '陈雨锶', '乐思宏', '崔可法', '陆建艺', '陈奕迅', '汤甄', '闫妮', '耿乐', '赵蕴卓', '蒋申', '许诗茵', '林津伊', '李全有', '周刘欢', '吴玥嫱', '初芊彤', '郑佾奇', '林慧']",2017,"['喜剧', '音乐']",['中国大陆']
26430107,二十二,['郭柯'],"['韦绍兰', '罗善学', '毛银梅', '李美金', '李爱连', '林爱兰', '曹黑毛', '张先兔', '郝菊香', '黄有良', '赵兰英', '陈亚扁', '符桂英', '符美菊', '任兰娥', '刘改连', '陈连村', '李凤云', '骈焕英', '王志凤', '李秀梅', '何玉珍', '刘风孩', '张双兵', '安世鸿', '米田麻衣', '陈厚志']",2015,['纪录片'],['中国大陆']
26747836,喵星人,['陈木胜'],"['古天乐', '马丽', '刘楚恬', '黄星羱', '阮兆祥', '卫诗雅', '蔡一智', '蔡一杰', '李尚正', '吴嘉龙', '杨诗敏', '尹航', '徐志雄', '吴文舜', '许明辉', '郭汉柱', '林子聪', '何子君', '邓智坚', '萧家浩', '詹植芝', '黄雅敏', '苏志威', '卢海鹏', '艾伦', '王成思', '冯勉恒']",2017,"['喜剧', '儿童', '奇幻']","['中国香港', '中国大陆']"
26803711,阿唐奇遇,['王微'],"['石磊', '原泽宇', '季冠霖', '洪晃', '米粒', '芒莱', '张磊', '赵岭', '严燕生', '仁杰', '任亚明', '赵霁']",2017,"['动画', '奇幻', '冒险']",['中国大陆']
22232939,大耳朵图图之美食狂想曲,['速达'],"['潘延', '范楚绒', '胡谦', '王衡', '李晔', '王肖兵', '吴磊', '蒋可', '李心仪', '蒋孙丞薇', '游军', '周南飞', '王晓彤', '严丽祯', '曹可凡', '金炜', '陈洁菁', 'John叔叔', 'ShowMan', '帅亦雯', '吴海涛', '温小桃']",2017,"['喜剧', '动画', '冒险']",['中国大陆']
